"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arlab151",,,,"User:","spuser"
"Cmdline:","dstat --time -v --net --output /flash/spark/pid_monitor/rundir/TERASORT/20150616-143627/data/raw/SIZE_GB=100.PARTS=1920.2.dstat.csv 5",,,,"Date:","16 Jun 2015 14:55:57 CDT"

"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"net/total",
16-06 14:58:52,47.0,0.0,15.600,4.13559881728e+11,3122593792.0,2.9560832e+11,3.84748486656e+11,0.0,0.0,819.200,455078707.200,161571.0,137542.800,47.515,7.061,43.823,0.249,0.693,0.659,359262174.400,682995651.800
16-06 14:58:57,47.800,0.200,71.200,4.14170087424e+11,3122593792.0,3.00200034304e+11,3.79546566656e+11,0.0,0.0,819.200,298510745.600,193067.600,177335.200,49.352,9.564,39.381,0.055,0.859,0.790,453800115.800,321276498.200
16-06 14:59:02,24.0,0.200,39.800,4.14811160576e+11,3122593792.0,3.05208426496e+11,3.73897101312e+11,0.0,0.0,0.0,784793.600,236467.400,206232.600,48.554,10.642,38.777,0.001,0.986,1.040,641278673.200,888925102.200
16-06 14:59:07,70.200,0.0,52.600,4.14648827904e+11,3122593792.0,3.09270478848e+11,3.69997381632e+11,0.0,0.0,0.0,509542.400,187421.800,169314.400,49.239,8.814,40.442,0.003,0.775,0.728,483244439.200,486731634.800
16-06 14:59:12,110.600,0.400,48.800,4.15276990464e+11,3122659328.0,3.14061160448e+11,3.64578471936e+11,0.0,0.0,819.200,107581440.0,220771.800,216496.800,45.218,10.518,42.373,0.026,0.903,0.961,570812726.200,731041401.600
16-06 14:59:17,52.600,0.0,63.200,4.15781617664e+11,3122724864.0,3.17198106624e+11,3.60936833024e+11,0.0,0.0,819.200,1679178956.800,155888.600,165499.600,45.289,7.319,45.586,0.508,0.635,0.663,239868764.200,391834461.400
16-06 14:59:22,24.800,0.0,44.0,4.16888717312e+11,3122790400.0,3.22995879936e+11,3.54031894528e+11,0.0,0.0,0.0,248577228.800,247092.600,222344.400,48.911,11.451,37.169,0.195,1.114,1.161,777431926.400,793359014.600
16-06 14:59:27,41.200,0.200,40.600,4.16957595648e+11,3122790400.0,3.26416662528e+11,3.505422336e+11,0.0,0.0,0.0,305994956.800,174555.800,150459.800,47.134,8.194,43.194,0.082,0.724,0.672,374931080.0,599128339.400
16-06 14:59:32,132.800,0.0,65.200,4.1702785024e+11,3122790400.0,3.32042141696e+11,3.4484649984e+11,0.0,0.0,819.200,1581421363.200,230876.400,220725.200,48.244,10.709,38.626,0.402,1.010,1.010,593289089.400,672906125.600
16-06 14:59:37,96.800,0.400,41.600,4.17294974976e+11,3122790400.0,3.36038002688e+11,3.40583514112e+11,0.0,0.0,819.200,975086387.200,197191.600,189092.400,48.467,9.224,40.411,0.255,0.824,0.820,549510825.200,664968140.400
16-06 14:59:42,45.800,0.0,65.400,4.17324859392e+11,3122855936.0,3.40858372096e+11,3.35733194752e+11,0.0,0.0,0.0,157406003.200,213263.400,229255.600,46.933,10.014,41.248,0.028,0.880,0.896,517650343.0,568197720.0
16-06 14:59:47,19.400,0.0,10.800,4.17248247808e+11,3122855936.0,3.43243292672e+11,3.3342488576e+11,0.0,0.0,0.0,879177728.0,144791.200,137437.400,36.499,6.256,55.872,0.260,0.526,0.588,416968260.600,635954305.800
16-06 14:59:52,126.200,0.0,104.600,4.18120466432e+11,3122855936.0,3.5058679808e+11,3.25209161728e+11,0.0,0.0,819.200,1262555136.0,257755.600,247250.400,46.263,11.874,39.151,0.368,1.077,1.266,567241918.200,617045422.400
16-06 14:59:57,132.400,0.200,15.0,4.18234171392e+11,3122987008.0,3.532996608e+11,3.22382462976e+11,0.0,0.0,819.200,722196070.400,190425.0,195880.200,47.117,7.476,43.548,0.329,0.746,0.784,598907677.600,803109624.400
16-06 15:00:02,22.400,0.400,86.0,4.18237906944e+11,3122987008.0,3.5872145408e+11,3.16956934144e+11,0.0,0.0,0.0,618173235.200,203641.0,199171.200,49.200,9.814,38.766,0.384,0.896,0.940,430613370.800,328896893.600
16-06 15:00:07,69.800,0.0,30.0,4.18575548416e+11,3123052544.0,3.63354390528e+11,3.11986290688e+11,0.0,0.0,0.0,1616759193.600,220075.200,175216.400,47.451,10.157,39.845,0.570,0.940,1.038,720167517.400,990587896.400
16-06 15:00:12,68.200,0.400,69.800,4.18481635328e+11,3123052544.0,3.67919562752e+11,3.07515031552e+11,0.0,0.0,0.0,343824793.600,194020.200,191239.600,49.403,9.163,39.764,0.103,0.804,0.762,436686563.400,437021650.400
16-06 15:00:17,53.600,0.0,42.600,4.18816524288e+11,3123118080.0,3.7236768768e+11,3.02731952128e+11,0.0,0.0,819.200,1040394649.600,212138.800,232279.400,47.464,10.258,40.147,0.311,0.886,0.934,606676387.0,738378861.600
16-06 15:00:22,22.0,0.400,41.0,4.18798436352e+11,3123118080.0,3.769024512e+11,2.98215276544e+11,0.0,0.0,819.200,1006187315.200,200921.0,186770.400,46.202,9.646,42.142,0.355,0.811,0.844,556093015.400,614601285.0
16-06 15:00:27,0.0,0.0,45.0,4.186259456e+11,3123118080.0,3.8124355584e+11,2.94046662656e+11,0.0,0.0,0.0,982228172.800,158729.600,143651.400,21.650,5.928,70.943,0.471,0.453,0.556,466299851.0,611135421.800
16-06 15:00:32,32.800,0.200,54.800,4.19072114688e+11,3123118080.0,3.84570294272e+11,2.90273755136e+11,0.0,0.0,0.0,639006310.400,133218.200,125361.600,15.448,4.571,78.824,0.316,0.348,0.492,154060830.800,104363635.0
16-06 15:00:37,0.400,0.400,2.800,4.18803482624e+11,3123118080.0,3.864428544e+11,2.88669827072e+11,0.0,0.0,819.200,1278880153.600,70708.400,89203.0,4.621,3.532,90.561,0.913,0.135,0.238,497678080.0,454323043.0
16-06 15:00:42,0.0,0.0,0.400,4.18788409344e+11,3123249152.0,3.864428544e+11,2.8868476928e+11,0.0,0.0,819.200,292732108.800,32080.0,60647.600,0.612,0.338,98.770,0.202,0.042,0.037,3141.0,1780.400
