"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arlab151",,,,"User:","spuser"
"Cmdline:","dstat --time -v --net --output /flash/spark/pid_monitor/rundir/TERASORT/20150616-143627/data/raw/SIZE_GB=100.PARTS=1920.1.dstat.csv 5",,,,"Date:","16 Jun 2015 14:50:44 CDT"

"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"net/total",
16-06 14:53:34,92.200,0.200,43.800,4.0717320192e+11,3119382528.0,2.94089129984e+11,3.92657567744e+11,0.0,0.0,0.0,132721868.800,245339.200,214988.600,48.313,11.270,38.104,0.017,1.121,1.175,739719545.0,838907876.800
16-06 14:53:39,22.800,0.400,23.400,4.08404492288e+11,3119382528.0,2.96337211392e+11,3.89178195968e+11,0.0,0.0,819.200,1851189657.600,146473.600,132977.0,47.941,6.861,43.468,0.480,0.639,0.610,265413992.0,540222740.200
16-06 14:53:44,31.0,0.0,66.400,4.09397100544e+11,3119382528.0,3.0155931648e+11,3.82963482624e+11,0.0,0.0,819.200,293697945.600,225244.600,192415.0,49.412,10.953,37.546,0.058,1.044,0.987,645789555.200,415000535.0
16-06 14:53:49,69.600,0.0,39.800,4.1112272896e+11,3119382528.0,3.05784487936e+11,3.77012682752e+11,0.0,0.0,0.0,344064.0,202712.200,181374.400,48.443,9.973,39.813,0.002,0.905,0.863,411687448.600,823551609.0
16-06 14:53:54,49.800,0.0,58.200,4.11343519744e+11,3119579136.0,3.1116689408e+11,3.71409289216e+11,0.0,0.0,0.0,398950.400,225691.400,188701.200,49.812,10.629,37.620,0.002,0.972,0.965,640396104.600,593677171.0
16-06 14:53:59,77.0,0.0,51.800,4.11842117632e+11,3119579136.0,3.14751909888e+11,3.6732567552e+11,0.0,0.0,819.200,907673.600,187181.400,191570.0,48.178,8.908,41.326,0.001,0.820,0.767,410414520.0,642239710.600
16-06 14:54:04,58.0,0.0,54.800,4.121690112e+11,3119644672.0,3.19742410752e+11,3.62008215552e+11,0.0,0.0,819.200,165788876.800,210097.0,186025.200,49.749,10.152,38.221,0.027,0.958,0.892,544360393.0,553184154.400
16-06 14:54:09,44.600,0.200,48.0,4.12525068288e+11,3119775744.0,3.24084432896e+11,3.57310005248e+11,0.0,0.0,0.0,2094058700.800,208912.600,182736.800,47.844,10.016,39.738,0.582,0.897,0.922,585065946.600,714385242.400
16-06 14:54:14,40.200,0.600,58.400,4.1284960256e+11,3119906816.0,3.29235365888e+11,3.51834406912e+11,0.0,0.0,0.0,2009993216.0,219064.0,196418.0,48.783,10.959,37.656,0.639,0.963,1.000,522764482.200,666123433.0
16-06 14:54:19,62.400,0.0,46.200,4.13027270656e+11,3119972352.0,3.32970852352e+11,3.47921186816e+11,0.0,0.0,819.200,452497408.0,191324.800,199847.400,48.273,9.042,40.968,0.110,0.827,0.780,550289059.600,632554142.400
16-06 14:54:24,24.800,0.0,55.600,4.13737680896e+11,3119972352.0,3.37808457728e+11,3.423731712e+11,0.0,0.0,819.200,351436.800,216225.0,220804.200,48.759,10.638,38.687,0.005,1.006,0.906,491182542.200,621234773.400
16-06 14:54:29,24.600,0.0,50.800,4.14175461376e+11,3119972352.0,3.42777266176e+11,3.36966582272e+11,0.0,0.0,0.0,960921.600,216798.200,194826.200,49.122,10.390,38.603,0.001,0.969,0.915,586182153.200,702456700.200
16-06 14:54:34,140.800,0.200,58.200,4.14227562496e+11,3120037888.0,3.47342176256e+11,3.32349505536e+11,0.0,0.0,0.0,41423667.200,205438.200,181883.0,49.057,10.120,39.041,0.006,0.901,0.875,608211465.800,684820711.200
16-06 14:54:39,46.200,0.0,49.600,4.14509170688e+11,3120037888.0,3.520086016e+11,3.27401472e+11,0.0,0.0,819.200,1425512857.600,211674.800,234826.0,47.694,10.123,39.957,0.407,0.901,0.918,480806398.600,646980375.800
16-06 14:54:44,58.400,0.400,36.200,4.14469914624e+11,3120103424.0,3.5579625472e+11,3.23653009408e+11,0.0,0.0,819.200,420796006.400,188385.400,177531.800,45.292,9.003,44.026,0.138,0.781,0.761,532566185.600,618597844.800
16-06 14:54:49,45.400,0.200,72.200,4.1489170432e+11,3120168960.0,3.61890512896e+11,3.17136896e+11,0.0,0.0,0.0,1349030707.200,231521.800,227125.600,48.674,11.484,37.051,0.635,1.052,1.105,655699323.0,647218905.600
16-06 14:54:54,69.800,0.200,44.800,4.15343050752e+11,3120168960.0,3.65810089984e+11,3.1276597248e+11,0.0,0.0,0.0,409196134.400,200208.600,175156.800,48.112,9.442,40.676,0.106,0.832,0.833,519924182.0,729568517.400
16-06 14:54:59,47.400,0.200,58.600,4.1520070656e+11,3120168960.0,3.70564988928e+11,3.08153417728e+11,0.0,0.0,819.200,1368179507.200,203854.600,224009.400,48.347,10.122,39.229,0.579,0.852,0.870,508937739.800,518903853.800
16-06 14:55:04,23.800,0.0,53.0,4.1565356032e+11,3120300032.0,3.75411965952e+11,3.02853455872e+11,0.0,0.0,819.200,676062822.400,219666.800,206551.200,48.639,10.845,38.435,0.156,0.963,0.961,594476829.0,759072066.200
16-06 14:55:09,3.0,0.200,39.600,4.15382306816e+11,3120300032.0,3.79789574144e+11,2.98747101184e+11,0.0,0.0,0.0,1562574848.0,179026.200,179873.600,36.120,9.073,52.957,0.532,0.632,0.686,540302063.0,595380933.600
16-06 14:55:14,82.400,0.800,68.800,4.15894601728e+11,3120365568.0,3.84384827392e+11,2.93639487488e+11,0.0,0.0,0.0,90710016.0,171229.200,164001.800,22.298,6.521,69.925,0.032,0.517,0.708,208994208.800,280932852.200
16-06 14:55:19,0.600,0.0,2.0,4.15581405184e+11,3120431104.0,3.86473132032e+11,2.91864313856e+11,0.0,0.0,0.0,1713904844.800,75054.0,85262.0,3.778,2.550,92.661,0.596,0.151,0.263,633831367.0,539398330.200
